player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Jarrett Bush,3261,CB,GB,11,0,10.8,70.0,86.5,6.3,4.4,0,0,0,0.0,12,39.8,38.1,80.0,43.7,51.6,39.4,0,30,0.0,0,0,1,140.8,7,45,52,1,4,10,2,98,30,2.2,14.0
John Chick,3270,ED,JAX,8,0,,,9.5,,,0,0,0,,15,62.8,55.8,19.8,56.4,62.8,69.9,0,,,0,0,1,0.0,0,8,84,0,0,0,0,0,0,0.0,
Blake Costanzo,3278,LB,CHI,3,0,,,100.0,,,0,0,0,,6,68.6,87.3,70.0,,84.6,81.3,0,,0.0,0,0,0,0.0,0,15,15,0,1,0,0,0,0,0.0,
Abram Elam,3301,S,KC,10,0,9.1,73.3,97.7,22.5,16.5,0,0,2,13.3,16,63.3,70.2,82.4,61.1,79.7,90.0,0,49,5.3,1,2,2,153.6,11,256,262,2,18,15,3,183,119,0.7,16.6
Steve Gregory,3326,S,NE,14,0,10.1,61.7,99.3,18.4,11.4,0,0,4,8.5,19,64.1,64.0,29.5,85.6,64.1,50.4,3,29,18.2,8,4,2,88.8,29,564,568,7,36,47,4,378,188,0.7,13.0
Tom Johnson,3378,DI,NO,15,1,,,1.3,,,0,0,0,,20,63.4,66.8,70.1,70.8,57.7,50.5,0,,20.0,1,0,1,0.0,0,3,231,4,3,0,0,0,0,0.0,
Tony McDaniel,3423,DI,MIA,11,0,,,3.7,,,0,0,0,,17,63.2,51.4,83.0,51.7,50.2,54.9,0,,0.0,0,0,0,0.0,0,6,163,2,2,0,0,0,0,0.0,
Tramon Williams,3558,CB,GB,18,1,12.8,54.8,99.2,11.1,6.1,0,0,17,14.8,12,68.9,66.2,52.6,52.1,53.6,73.1,2,53,8.6,5,17,5,77.2,63,748,754,5,52,115,2,852,212,1.2,13.5
Brent Grimes,3589,CB,ATL,1,0,7.5,75.0,96.0,8.0,6.0,0,0,0,0.0,2,51.2,55.6,78.3,54.3,71.7,54.5,0,21,25.0,1,0,0,100.0,3,24,25,0,3,4,0,34,10,1.4,11.3
Garrett McIntyre,3598,ED,NYJ,15,0,1.5,100.0,18.9,18.5,18.5,0,0,0,0.0,22,55.8,58.4,64.8,56.7,61.7,66.2,0,26,0.0,0,0,1,118.8,2,38,201,4,4,2,0,40,37,1.1,20.0
LaRon Landry,3622,S,NYJ,16,2,13.7,58.8,93.2,16.2,9.5,0,0,5,9.8,22,66.3,67.6,13.9,62.6,72.7,73.2,2,66,12.8,6,5,3,97.5,30,517,555,9,39,51,4,448,174,0.9,14.9
