player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Jay Ratliff,2441,DI,CHI,11,0,0,6,71.1,7,19,280,100.0,11.1,31,0,7.1,7,295,295,33,0,69.2,5,13,157,100.0,14.0,22,8.9,5,166,166,23
Lorenzo Alexander,2476,ED,ARZ,6,0,0,1,64.1,3,1,30,80.0,6.7,2,0,10.0,1,40,32,5,0,58.2,0,1,19,87.5,10.5,2,7.9,1,24,21,2
Chase Blackburn,2498,LB,CAR,5,0,0,5,63.7,1,0,3,13.3,0.0,0,0,16.7,0,30,4,1,0,59.1,0,0,1,16.7,0.0,0,0.0,0,6,1,0
Jim Leonhard,2694,S,CLV,16,0,0,8,64.1,1,4,23,7.1,4.3,1,0,15.2,1,337,24,6,0,63.9,0,3,15,9.6,6.7,1,16.7,1,167,16,4
Ahmad Brooks,2945,ED,SF,13,2,0,28,62.4,5,11,247,72.7,9.7,24,5,5.7,6,359,261,22,0,60.9,4,6,124,85.8,11.3,14,5.6,2,155,133,12
Mario Williams,2946,ED,BUF,16,3,0,4,73.6,7,37,454,97.4,13.2,60,2,8.4,16,497,484,60,0,75.6,3,25,202,97.7,19.8,40,11.4,9,221,216,37
A.J. Hawk,2950,LB,GB,18,0,0,12,52.4,1,10,73,16.1,12.3,9,0,8.9,1,478,77,12,0,54.2,1,8,40,21.4,17.5,7,13.8,1,201,43,10
Donte Whitner,2953,S,CLV,16,0,0,8,83.8,0,2,40,6.3,0.0,0,0,2.5,0,679,43,2,0,35.4,0,2,27,9.7,0.0,0,3.7,0,299,29,2
Haloti Ngata,2957,DI,BLT,14,5,0,3,66.1,2,20,379,99.3,8.4,32,3,3.7,3,402,399,25,1,65.1,1,15,169,99.4,13.6,23,5.9,2,179,178,18
Kamerion Wimbley,2958,ED,TEN,13,0,0,31,55.1,3,3,156,63.3,8.3,13,0,3.2,2,256,162,8,0,62.0,3,3,45,66.2,17.8,8,8.9,1,71,47,7
Brodrick Bunkley,2959,DI,NO,11,0,0,20,48.3,0,4,129,100.0,3.1,4,0,1.6,0,136,136,4,0,54.0,0,3,43,100.0,7.0,3,3.5,0,45,45,3
Chad Greenway,2962,LB,MIN,12,1,1,18,57.0,4,4,50,12.6,12.0,6,1,10.0,1,445,56,9,0,57.3,3,4,24,14.9,20.8,5,18.8,1,194,29,8
Antonio Cromartie,2964,CB,ARZ,17,0,2,1,48.9,0,1,4,0.7,0.0,0,7,12.5,0,678,5,1,0,50.3,0,1,3,1.3,0.0,0,16.7,0,299,4,1
Tamba Hali,2965,ED,KC,16,0,2,16,68.2,7,31,458,80.7,10.9,50,4,5.5,6,592,478,44,0,74.2,5,22,223,88.6,17.0,38,7.4,3,264,234,30
Manny Lawson,2967,ED,BUF,16,2,0,4,56.8,2,4,188,98.1,4.8,9,1,2.7,2,209,205,8,0,52.8,2,1,82,97.8,7.3,6,4.3,2,90,88,5
Mathias Kiwanuka,2977,ED,NYG,11,0,0,21,56.9,6,16,294,96.9,7.8,23,3,4.4,2,325,315,24,0,66.4,2,12,148,99.4,10.8,16,6.1,2,163,162,16
DeMeco Ryans,2978,LB,PHI,8,0,0,24,49.7,1,2,57,19.4,5.3,3,1,2.6,0,304,59,3,0,50.9,1,0,35,29.6,2.9,1,1.4,0,125,37,1
D'Qwell Jackson,2979,LB,IND,19,0,1,14,49.5,1,12,131,19.1,6.9,9,1,8.0,4,728,139,17,0,48.3,0,6,75,26.6,2.7,2,6.7,2,305,81,8
Danieal Manning,2987,S,HST,16,0,0,13,36.8,1,2,15,3.9,0.0,0,1,10.0,0,435,17,3,0,44.2,0,1,8,4.1,0.0,0,6.3,0,218,9,1
Roman Harper,2988,S,CAR,18,1,0,5,86.9,1,2,23,3.8,8.7,2,2,10.9,1,634,24,4,0,90.7,0,1,10,3.4,20.0,2,15.0,1,294,10,2
Bernard Pollard,2999,S,TEN,5,0,1,31,77.7,0,4,7,3.8,42.9,3,2,42.9,1,182,7,5,0,74.6,0,1,3,3.9,66.7,2,50.0,1,76,3,2
Richard Marshall,3003,CB,SD,8,0,0,27,57.3,0,0,2,1.0,0.0,0,4,0.0,0,204,2,0,0,,0,0,0,0.0,,0,,0,90,0,0
Tim Jennings,3007,CB,CHI,16,0,0,6,55.8,0,0,1,0.3,0.0,0,3,0.0,0,627,2,0,0,59.5,0,0,0,0.3,,0,,0,303,1,0
Darryl Tapp,3008,ED,DET,17,1,0,11,64.3,8,9,150,98.2,9.3,14,1,6.3,1,167,164,18,0,61.6,1,2,56,98.4,5.4,3,4.5,1,62,61,4
Frostee Rucker,3036,DI,ARZ,16,0,0,1,54.0,5,18,281,97.7,9.3,26,0,5.9,5,309,302,28,0,58.7,3,5,103,98.3,13.6,14,6.8,3,116,114,11
Jason Hatcher,3037,DI,WAS,13,1,0,32,69.3,6,26,334,100.0,12.0,40,2,7.2,8,357,357,40,1,78.1,6,19,162,100.0,18.5,30,11.4,6,177,177,31
Will Blackmon,3060,CB,JAX,8,0,0,15,58.4,0,0,9,3.6,0.0,0,2,11.1,1,250,9,1,0,62.5,0,0,6,4.3,0.0,0,16.7,1,138,6,1
Stephen Tulloch,3061,LB,DET,3,0,0,11,75.3,0,0,11,14.9,0.0,0,0,27.3,3,87,13,3,0,76.0,0,0,5,16.7,0.0,0,40.0,2,36,6,2
Domata Peko Sr.,3068,DI,CIN,17,0,0,7,49.2,1,5,346,99.7,3.2,11,2,1.2,1,372,371,7,0,51.6,0,4,124,100.0,4.0,5,1.6,0,137,137,4
Barry Cofield,3069,DI,WAS,8,0,0,32,53.2,1,6,152,100.0,4.6,7,0,3.0,1,168,168,8,0,57.1,1,4,63,100.0,7.9,5,4.0,0,72,72,5
Elvis Dumervil,3071,ED,BLT,18,0,3,3,80.8,11,31,450,87.9,15.6,70,8,9.6,22,539,474,64,0,88.0,10,23,237,93.4,22.4,53,15.0,19,272,254,52
Kyle Williams,3079,DI,BUF,15,1,1,4,65.3,12,29,411,98.0,13.6,56,3,6.9,8,452,443,49,1,69.1,9,21,190,97.2,20.0,38,10.0,4,213,207,34
